idh_ch,region_c,factor_ch,inc_total_ch,inc_proxy_ch,inc_proxy_ch_pc,inc_total_norm_ch_pc,shock,inc_after_shock,poor_before,poor_after,poor_new,afectados,P1_elegible,P2_elegible,P3_elegible,P4_elegible,P5_elegible,P6_elegible,P1_benef,P2_benef,P3_benef,P4_benef,P5_benef,P6_benef,P_benef,P_no_benef
7530,mun9,54, $858.3 , $971.9 , $243.0 , $447.4 , $76.8 , $370.5 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7531,mun9,149, $281.3 , $363.2 , $363.2 , $668.6 , $109.4 , $559.2 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7532,mun9,151, $160.4 , $286.7 , $286.7 , $527.8 , $106.4 , $421.4 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7533,mun9,150, $193.0 , $243.4 , $121.7 , $224.0 , $94.2 , $129.8 ,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7534,mun9,150, $938.1 ," $1,043.2 ", $347.7 , $640.2 , $110.3 , $529.9 ,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
7535,mun9,150," $1,278.5 "," $1,373.0 ", $274.6 , $505.5 , $107.4 , $398.1 ,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
7536,mun9,150, $608.3 , $702.6 , $175.6 , $323.4 , $114.2 , $209.2 ,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
7537,mun9,150, $454.6 , $502.0 , $125.5 , $231.1 , $91.5 , $139.5 ,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7538,mun9,150, $440.8 , $553.3 , $138.3 , $254.7 , $96.9 , $157.8 ,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7539,mun9,149, $81.6 , $201.5 , $201.5 , $370.9 , $60.4 , $310.6 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7540,mun9,150, $973.3 ," $1,116.1 ", $372.0 , $685.0 , $99.0 , $586.0 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7541,mun9,109," $1,089.2 "," $1,172.5 ", $390.8 , $719.5 , $77.8 , $641.8 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7542,mun9,109," $1,672.3 "," $1,781.3 ", $356.3 , $655.9 , $99.4 , $556.5 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7543,mun9,108, $150.0 , $249.8 , $249.8 , $459.9 , $102.2 , $357.6 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7544,mun9,109, $820.0 , $895.3 , $447.7 , $824.2 , $110.9 , $713.3 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7545,mun9,109, $662.2 , $719.8 , $239.9 , $441.7 , $91.4 , $350.4 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7546,mun9,109," $1,292.5 "," $1,405.2 ", $468.4 , $862.4 , $55.4 , $807.0 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7547,mun9,109," $2,285.4 "," $2,343.0 ", $585.8 ," $1,078.4 ", $90.6 , $987.8 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7548,mun9,109, $444.2 , $557.8 , $185.9 , $342.3 , $95.5 , $246.8 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7549,mun9,101," $2,210.0 "," $2,337.8 ", $584.5 ," $1,076.0 ", $103.6 , $972.4 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7550,mun9,100," $1,800.0 "," $1,913.7 ", $319.0 , $587.2 , $122.7 , $464.5 ,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
7551,mun9,101," $2,250.0 "," $2,301.3 ", $767.1 ," $1,412.3 ", $105.0 ," $1,307.3 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7552,mun9,101," $1,169.2 "," $1,206.5 ", $172.4 , $317.3 , $99.5 , $217.8 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7553,mun9,100," $1,150.0 "," $1,204.2 ", $301.1 , $554.3 , $110.9 , $443.3 ,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
7554,mun9,100, $380.0 , $551.2 , $275.6 , $507.4 , $96.6 , $410.7 ,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
7555,mun9,100, $563.0 , $686.8 , $171.7 , $316.1 , $102.0 , $214.1 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7556,mun9,100, $476.7 , $557.2 , $111.4 , $205.2 , $97.5 , $107.6 ,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7557,mun9,101, $540.0 , $638.8 , $159.7 , $294.0 , $103.2 , $190.8 ,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
7558,mun9,101, $260.0 , $382.5 , $127.5 , $234.7 , $76.7 , $158.1 ,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7559,mun9,94, $507.5 , $566.7 , $283.4 , $521.7 , $105.8 , $415.9 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7560,mun9,94, $280.0 , $345.7 , $345.7 , $636.5 , $106.4 , $530.1 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7561,mun9,94, $560.0 , $642.0 , $160.5 , $295.5 , $106.4 , $189.0 ,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
7562,mun9,94, $591.7 , $673.4 , $224.5 , $413.3 , $119.6 , $293.7 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7563,mun9,94," $2,747.0 "," $2,841.0 ", $947.0 ," $1,743.5 ", $109.3 ," $1,634.2 ",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
7564,mun9,94, $841.7 , $940.8 , $235.2 , $433.0 , $101.9 , $331.1 ,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
7565,mun9,94, $858.3 , $936.2 , $312.1 , $574.5 , $119.4 , $455.1 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7566,mun9,94, $670.0 , $817.0 , $136.2 , $250.7 , $60.0 , $190.7 ,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
